id,category,status,method,question,correctAnswer,source,quarantined,note
q1,Världen,reference-verified,country-capital,Vad heter huvudstaden i Sverige?,Stockholm,https://www.wikidata.org/,False,
q2,Världen,reference-verified,reverse-capital-country,Stockholm är huvudstad i vilket land?,Sverige,https://www.wikidata.org/,False,
q3,Världen,reference-verified,flag-code,Vilket land har den här flaggan?,Sverige,https://unicode.org/emoji/charts/full-emoji-list.html,False,
q4,Världen,reference-verified,country-capital,Vad heter huvudstaden i Norge?,Oslo,https://www.wikidata.org/,False,
q5,Världen,reference-verified,reverse-capital-country,Oslo är huvudstad i vilket land?,Norge,https://www.wikidata.org/,False,
q6,Världen,reference-verified,flag-code,Vilket land har den här flaggan?,Norge,https://unicode.org/emoji/charts/full-emoji-list.html,False,
q7,Världen,reference-verified,country-capital,Vad heter huvudstaden i Danmark?,Köpenhamn,https://www.wikidata.org/,False,
q8,Världen,reference-verified,reverse-capital-country,Köpenhamn är huvudstad i vilket land?,Danmark,https://www.wikidata.org/,False,
q9,Världen,reference-verified,flag-code,Vilket land har den här flaggan?,Danmark,https://unicode.org/emoji/charts/full-emoji-list.html,False,
q10,Världen,reference-verified,country-capital,Vad heter huvudstaden i Finland?,Helsingfors,https://www.wikidata.org/,False,
q11,Världen,reference-verified,reverse-capital-country,Helsingfors är huvudstad i vilket land?,Finland,https://www.wikidata.org/,False,
q12,Världen,reference-verified,flag-code,Vilket land har den här flaggan?,Finland,https://unicode.org/emoji/charts/full-emoji-list.html,False,
q13,Världen,reference-verified,country-capital,Vad heter huvudstaden i Island?,Reykjavík,https://www.wikidata.org/,False,
q14,Världen,reference-verified,reverse-capital-country,Reykjavík är huvudstad i vilket land?,Island,https://www.wikidata.org/,False,
q15,Världen,reference-verified,flag-code,Vilket land har den här flaggan?,Island,https://unicode.org/emoji/charts/full-emoji-list.html,False,
q16,Världen,reference-verified,country-capital,Vad heter huvudstaden i Tyskland?,Berlin,https://www.wikidata.org/,False,
q17,Världen,reference-verified,reverse-capital-country,Berlin är huvudstad i vilket land?,Tyskland,https://www.wikidata.org/,False,
q18,Världen,reference-verified,flag-code,Vilket land har den här flaggan?,Tyskland,https://unicode.org/emoji/charts/full-emoji-list.html,False,
q19,Världen,reference-verified,country-capital,Vad heter huvudstaden i Frankrike?,Paris,https://www.wikidata.org/,False,
q20,Världen,reference-verified,reverse-capital-country,Paris är huvudstad i vilket land?,Frankrike,https://www.wikidata.org/,False,
q21,Världen,reference-verified,flag-code,Vilket land har den här flaggan?,Frankrike,https://unicode.org/emoji/charts/full-emoji-list.html,False,
q22,Världen,reference-verified,country-capital,Vad heter huvudstaden i Spanien?,Madrid,https://www.wikidata.org/,False,
q23,Världen,reference-verified,reverse-capital-country,Madrid är huvudstad i vilket land?,Spanien,https://www.wikidata.org/,False,
q24,Världen,reference-verified,flag-code,Vilket land har den här flaggan?,Spanien,https://unicode.org/emoji/charts/full-emoji-list.html,False,
q25,Världen,reference-verified,country-capital,Vad heter huvudstaden i Portugal?,Lissabon,https://www.wikidata.org/,False,
q26,Världen,reference-verified,reverse-capital-country,Lissabon är huvudstad i vilket land?,Portugal,https://www.wikidata.org/,False,
q27,Världen,reference-verified,country-capital,Vad heter huvudstaden i Italien?,Rom,https://www.wikidata.org/,False,
q28,Världen,reference-verified,reverse-capital-country,Rom är huvudstad i vilket land?,Italien,https://www.wikidata.org/,False,
q29,Världen,reference-verified,flag-code,Vilket land har den här flaggan?,Italien,https://unicode.org/emoji/charts/full-emoji-list.html,False,
q30,Världen,reference-verified,country-capital,Vad heter huvudstaden i Grekland?,Aten,https://www.wikidata.org/,False,
q31,Världen,reference-verified,reverse-capital-country,Aten är huvudstad i vilket land?,Grekland,https://www.wikidata.org/,False,
q32,Världen,reference-verified,flag-code,Vilket land har den här flaggan?,Grekland,https://unicode.org/emoji/charts/full-emoji-list.html,False,
q33,Världen,reference-verified,country-capital,Vad heter huvudstaden i Irland?,Dublin,https://www.wikidata.org/,False,
