id,category,kind,field,old,new,reason,source
q4357,Världen,corrected,answer,BYR,BYN,Föråldrad/icke-ordinarie valutakod ersatt med aktuell huvudsaklig valutakod.,https://unicode.org/cldr/
q4562,Världen,corrected,answer,CLF,CLP,Föråldrad/icke-ordinarie valutakod ersatt med aktuell huvudsaklig valutakod.,https://unicode.org/cldr/
q4663,Världen,corrected,answer,HRK,EUR,Föråldrad/icke-ordinarie valutakod ersatt med aktuell huvudsaklig valutakod.,https://unicode.org/cldr/
q4673,Världen,corrected,answer,CUC,CUP,Föråldrad/icke-ordinarie valutakod ersatt med aktuell huvudsaklig valutakod.,https://unicode.org/cldr/
q4761,Världen,corrected,answer,SVC,USD,Föråldrad/icke-ordinarie valutakod ersatt med aktuell huvudsaklig valutakod.,https://unicode.org/cldr/
q5410,Världen,corrected,answer,MRO,MRU,Föråldrad/icke-ordinarie valutakod ersatt med aktuell huvudsaklig valutakod.,https://unicode.org/cldr/
q5845,Världen,corrected,answer,STD,STN,Föråldrad/icke-ordinarie valutakod ersatt med aktuell huvudsaklig valutakod.,https://unicode.org/cldr/
q5876,Världen,corrected,answer,rs,serbiska,Felaktig ISO-landskod användes som språk.,https://unicode.org/cldr/
q5891,Världen,corrected,answer,SLL,SLE,Föråldrad/icke-ordinarie valutakod ersatt med aktuell huvudsaklig valutakod.,https://unicode.org/cldr/
q6035,Världen,corrected,answer,CHE,CHF,Föråldrad/icke-ordinarie valutakod ersatt med aktuell huvudsaklig valutakod.,https://unicode.org/cldr/
q6221,Världen,corrected,answer,UYI,UYU,Föråldrad/icke-ordinarie valutakod ersatt med aktuell huvudsaklig valutakod.,https://unicode.org/cldr/
q6250,Världen,corrected,answer,VEF,VES,Föråldrad/icke-ordinarie valutakod ersatt med aktuell huvudsaklig valutakod.,https://unicode.org/cldr/
q6295,Världen,corrected,answer,ZMK,ZMW,Föråldrad/icke-ordinarie valutakod ersatt med aktuell huvudsaklig valutakod.,https://unicode.org/cldr/
q324,Onödigt vetande,corrected,question,Hur många armar har en vanlig bläckfisk?,Hur många armar har en åttaarmad bläckfisk (octopus)?,”Bläckfisk” är för brett; octopus har åtta armar.,
q11836,Sport,corrected,question,"Vilken sport har ett nät är 3,05 meter högt?","I vilken sport sitter korgens ring 3,05 meter över golvet?","3,05 m avser basketkorgens ringhöjd, inte ett nät som är 3,05 m högt.",https://www.fiba.basketball/documents
q12270,Sport,corrected,question,"Vilken av följande sport har ett nät är 3,05 meter högt?","I vilken sport sitter korgens ring 3,05 meter över golvet?","3,05 m avser basketkorgens ringhöjd, inte ett nät som är 3,05 m högt.",https://www.fiba.basketball/documents
q12271,Sport,corrected,question,"Vilken sport har ett nät är 3,05 meter högt?","I vilken sport sitter korgens ring 3,05 meter över golvet?","3,05 m avser basketkorgens ringhöjd, inte ett nät som är 3,05 m högt.",https://www.fiba.basketball/documents
q141151,Djur & natur,corrected,question+answer,Vilket havsdjur har åtta armar? => Bläckfisk,Vilken typ av bläckfisk har åtta armar? => Åttaarmad bläckfisk (octopus),Svenska ”bläckfisk” omfattar flera grupper; octopus är den åttaarmade gruppen.,
q141480,Onödigt vetande,corrected,question,Hur många armar har en vanlig bläckfisk?,Hur många armar har en åttaarmad bläckfisk (octopus)?,”Bläckfisk” är för brett; octopus har åtta armar.,
q141547,Onödigt vetande,corrected,question,Kunskapsfråga – hur många armar har en vanlig bläckfisk?,Kunskapsfråga – hur många armar har en åttaarmad bläckfisk (octopus)?,”Bläckfisk” är för brett; octopus har åtta armar.,
q141593,Sport,corrected,question,"Vilken sport har ett nät är 3,05 meter högt?","I vilken sport sitter korgens ring 3,05 meter över golvet?","3,05 m avser basketkorgens ringhöjd, inte ett nät som är 3,05 m högt.",https://www.fiba.basketball/documents
q144446,Djur & natur,corrected,question+answer,Vilket havsdjur har åtta armar? => Bläckfisk,Vilken typ av bläckfisk har åtta armar? => Åttaarmad bläckfisk (octopus),Svenska ”bläckfisk” omfattar flera grupper; octopus är den åttaarmade gruppen.,
q144646,Djur & natur,corrected,question+answer,Testa dina kunskaper: Vilket havsdjur har åtta armar? => Bläckfisk,Testa dina kunskaper: Vilken typ av bläckfisk har åtta armar? => Åttaarmad bläckfisk (octopus),Svenska ”bläckfisk” omfattar flera grupper; octopus är den åttaarmade gruppen.,
q144846,Djur & natur,corrected,question+answer,En fråga för den här kategorin: Vilket havsdjur har åtta armar? => Bläckfisk,En fråga för den här kategorin: Vilken typ av bläckfisk har åtta armar? => Åttaarmad bläckfisk (octopus),Svenska ”bläckfisk” omfattar flera grupper; octopus är den åttaarmade gruppen.,
q145046,Djur & natur,corrected,question+answer,Vilket havsdjur har åtta armar? => Bläckfisk,Vilken typ av bläckfisk har åtta armar? => Åttaarmad bläckfisk (octopus),Svenska ”bläckfisk” omfattar flera grupper; octopus är den åttaarmade gruppen.,
q149900,Onödigt vetande,corrected,question,Hur många armar har en vanlig bläckfisk?,Hur många armar har en åttaarmad bläckfisk (octopus)?,”Bläckfisk” är för brett; octopus har åtta armar.,
q150007,Onödigt vetande,corrected,question,Hur många armar har en vanlig bläckfisk?,Hur många armar har en åttaarmad bläckfisk (octopus)?,”Bläckfisk” är för brett; octopus har åtta armar.,
q150074,Onödigt vetande,corrected,question,Kunskapsfråga – hur många armar har en vanlig bläckfisk?,Kunskapsfråga – hur många armar har en åttaarmad bläckfisk (octopus)?,”Bläckfisk” är för brett; octopus har åtta armar.,
q150100,Onödigt vetande,corrected,question,Testa dina kunskaper: Hur många armar har en vanlig bläckfisk?,Testa dina kunskaper: Hur många armar har en åttaarmad bläckfisk (octopus)?,”Bläckfisk” är för brett; octopus har åtta armar.,
q150207,Onödigt vetande,corrected,question,Testa dina kunskaper: I en quiz: hur många armar har en vanlig bläckfisk?,Testa dina kunskaper: I en quiz: hur många armar har en åttaarmad bläckfisk (octopus)?,”Bläckfisk” är för brett; octopus har åtta armar.,
q150274,Onödigt vetande,corrected,question,Testa dina kunskaper: Kunskapsfråga – hur många armar har en vanlig bläckfisk?,Testa dina kunskaper: Kunskapsfråga – hur många armar har en åttaarmad bläckfisk (octopus)?,”Bläckfisk” är för brett; octopus har åtta armar.,
q150300,Onödigt vetande,corrected,question,En fråga för den här kategorin: Hur många armar har en vanlig bläckfisk?,En fråga för den här kategorin: Hur många armar har en åttaarmad bläckfisk (octopus)?,”Bläckfisk” är för brett; octopus har åtta armar.,
q150407,Onödigt vetande,corrected,question,En fråga för den här kategorin: I en quiz: hur många armar har en vanlig bläckfisk?,En fråga för den här kategorin: I en quiz: hur många armar har en åttaarmad bläckfisk (octopus)?,”Bläckfisk” är för brett; octopus har åtta armar.,
q150474,Onödigt vetande,corrected,question,En fråga för den här kategorin: Kunskapsfråga – hur många armar har en vanlig bläckfisk?,En fråga för den här kategorin: Kunskapsfråga – hur många armar har en åttaarmad bläckfisk (octopus)?,”Bläckfisk” är för brett; octopus har åtta armar.,
q150500,Onödigt vetande,corrected,question,Hur många armar har en vanlig bläckfisk?,Hur många armar har en åttaarmad bläckfisk (octopus)?,”Bläckfisk” är för brett; octopus har åtta armar.,
q150607,Onödigt vetande,corrected,question,Hur många armar har en vanlig bläckfisk?,Hur många armar har en åttaarmad bläckfisk (octopus)?,”Bläckfisk” är för brett; octopus har åtta armar.,
q150674,Onödigt vetande,corrected,question,Kunskapsfråga – hur många armar har en vanlig bläckfisk?,Kunskapsfråga – hur många armar har en åttaarmad bläckfisk (octopus)?,”Bläckfisk” är för brett; octopus har åtta armar.,
q151276,Sport,corrected,question,"Vilken sport har ett nät är 3,05 meter högt?","I vilken sport sitter korgens ring 3,05 meter över golvet?","3,05 m avser basketkorgens ringhöjd, inte ett nät som är 3,05 m högt.",https://www.fiba.basketball/documents
q151310,Sport,corrected,question,"Vilken av följande sport har ett nät är 3,05 meter högt?","I vilken sport sitter korgens ring 3,05 meter över golvet?","3,05 m avser basketkorgens ringhöjd, inte ett nät som är 3,05 m högt.",https://www.fiba.basketball/documents
q151311,Sport,corrected,question,"Vilken sport har ett nät är 3,05 meter högt?","I vilken sport sitter korgens ring 3,05 meter över golvet?","3,05 m avser basketkorgens ringhöjd, inte ett nät som är 3,05 m högt.",https://www.fiba.basketball/documents
q151387,Sport,corrected,question,"Vilken sport har ett nät är 3,05 meter högt?","I vilken sport sitter korgens ring 3,05 meter över golvet?","3,05 m avser basketkorgens ringhöjd, inte ett nät som är 3,05 m högt.",https://www.fiba.basketball/documents
q151476,Sport,corrected,question,"Testa dina kunskaper: Vilken sport har ett nät som är 3,05 meter högt?","Testa dina kunskaper: I vilken sport sitter korgens ring 3,05 meter över golvet?","3,05 m avser basketkorgens ringhöjd, inte ett nät som är 3,05 m högt.",https://www.fiba.basketball/documents
q151510,Sport,corrected,question,"Testa dina kunskaper: Vilken av följande sport har ett nät som är 3,05 meter högt?","Testa dina kunskaper: I vilken sport sitter korgens ring 3,05 meter över golvet?","3,05 m avser basketkorgens ringhöjd, inte ett nät som är 3,05 m högt.",https://www.fiba.basketball/documents
q151511,Sport,corrected,question,"Testa dina kunskaper: Kan du välja rätt alternativ: vilken sport har ett nät som är 3,05 meter högt?","Testa dina kunskaper: Kan du välja rätt alternativ: I vilken sport sitter korgens ring 3,05 meter över golvet?","3,05 m avser basketkorgens ringhöjd, inte ett nät som är 3,05 m högt.",https://www.fiba.basketball/documents
q151587,Sport,corrected,question,"Testa dina kunskaper: I en quiz: vilken sport har ett nät som är 3,05 meter högt?","Testa dina kunskaper: I en quiz: I vilken sport sitter korgens ring 3,05 meter över golvet?","3,05 m avser basketkorgens ringhöjd, inte ett nät som är 3,05 m högt.",https://www.fiba.basketball/documents
q151676,Sport,corrected,question,"En fråga för den här kategorin: Vilken sport har ett nät som är 3,05 meter högt?","En fråga för den här kategorin: I vilken sport sitter korgens ring 3,05 meter över golvet?","3,05 m avser basketkorgens ringhöjd, inte ett nät som är 3,05 m högt.",https://www.fiba.basketball/documents
q151710,Sport,corrected,question,"En fråga för den här kategorin: Vilken av följande sport har ett nät som är 3,05 meter högt?","En fråga för den här kategorin: I vilken sport sitter korgens ring 3,05 meter över golvet?","3,05 m avser basketkorgens ringhöjd, inte ett nät som är 3,05 m högt.",https://www.fiba.basketball/documents
q151711,Sport,corrected,question,"En fråga för den här kategorin: Kan du välja rätt alternativ: vilken sport har ett nät som är 3,05 meter högt?","En fråga för den här kategorin: Kan du välja rätt alternativ: I vilken sport sitter korgens ring 3,05 meter över golvet?","3,05 m avser basketkorgens ringhöjd, inte ett nät som är 3,05 m högt.",https://www.fiba.basketball/documents
q151787,Sport,corrected,question,"En fråga för den här kategorin: I en quiz: vilken sport har ett nät som är 3,05 meter högt?","En fråga för den här kategorin: I en quiz: I vilken sport sitter korgens ring 3,05 meter över golvet?","3,05 m avser basketkorgens ringhöjd, inte ett nät som är 3,05 m högt.",https://www.fiba.basketball/documents
q151876,Sport,corrected,question,"Vilken sport har ett nät är 3,05 meter högt?","I vilken sport sitter korgens ring 3,05 meter över golvet?","3,05 m avser basketkorgens ringhöjd, inte ett nät som är 3,05 m högt.",https://www.fiba.basketball/documents
q151910,Sport,corrected,question,"Vilken av följande sport har ett nät är 3,05 meter högt?","I vilken sport sitter korgens ring 3,05 meter över golvet?","3,05 m avser basketkorgens ringhöjd, inte ett nät som är 3,05 m högt.",https://www.fiba.basketball/documents
q151911,Sport,corrected,question,"Vilken sport har ett nät är 3,05 meter högt?","I vilken sport sitter korgens ring 3,05 meter över golvet?","3,05 m avser basketkorgens ringhöjd, inte ett nät som är 3,05 m högt.",https://www.fiba.basketball/documents
q151987,Sport,corrected,question,"Vilken sport har ett nät är 3,05 meter högt?","I vilken sport sitter korgens ring 3,05 meter över golvet?","3,05 m avser basketkorgens ringhöjd, inte ett nät som är 3,05 m högt.",https://www.fiba.basketball/documents
q174_musik_1,Musik,corrected,question+answer,Vilket år startade Grammy Awards enligt Recording Academys historik? => 1958,Vilket år hölls den första Grammygalan? => 1959,Första Grammyceremonin hölls 1959.,https://www.grammy.com/awards/1st-annual-grammy-awards/
q174_musik_2,Musik,corrected,question+answer,Ungefär hur många klassiska inspelningar finns i Grammy Hall of Fame? => Nästan 1 000,Hur många inspelningar omfattar Grammy Hall of Fame efter 2026 års inval? => 1 179,Recording Academy anger 1 179 invalda inspelningar efter 2026 års tillskott.,https://www.grammy.com/news/grammy-hall-of-fame-2026-inducted-recordings/
src-ccd0c44d6a07a6ba87,80/90/00-talet,corrected,question,"Vem regisserade ”Heat”, en film från 1996?","Vem regisserade ”Heat”, en film från 1995?",Premiäråret i frågans premiss motsade samma Wikidata-entitets premiärårsfråga.,http://www.wikidata.org/entity/Q42198
src-64bcb25a8e4170cf5f,80/90/00-talet,corrected,question,"Vem regisserade ”Iron Eagle II - stridsflygarna”, en film från 1989?","Vem regisserade ”Iron Eagle II - stridsflygarna”, en film från 1988?",Premiäråret i frågans premiss motsade samma Wikidata-entitets premiärårsfråga.,http://www.wikidata.org/entity/Q39960
